"id","authors","title","doi"
"GCZaN","Wimmer, MC; Maras, KL; Robinson, EJ; Thomas, C","The format of children's mental images: Evidence from mental scanning","http://doi.org/10.1016/j.cognition.2016.05.017"
"oNtbU","Miozzo, M; Petrova, A; Fischer-Baum, S; Peressotti, F","Serial position encoding of signs","http://doi.org/10.1016/j.cognition.2016.05.008"
"TbyyQ","Cashon, CH; Ha, OR; Estes, KG; Saffran, JR; Mervis, CB","Infants with Williams syndrome detect statistical regularities in continuous speech","http://doi.org/10.1016/j.cognition.2016.05.009"
"UpGSS","Canzoneri, E; di Pellegrino, G; Herbelin, B; Blanke, O; Serino, A","Conceptual processing is referenced to the experienced location of the self, not to the location of the physical body","http://doi.org/10.1016/j.cognition.2016.05.016"
"KnWKQ","Ihssen, N; Mussweiler, T; Linden, DEJ","Observing others stay or switch - How social prediction errors are integrated into reward reversal learning","http://doi.org/10.1016/j.cognition.2016.04.012"
"sSiKJ","Mohring, W; Ramsook, KA; Hirsh-Pasek, K; Golinkoff, RM; Newcombe, NS","Where music meets space: Children's sensitivity to pitch intervals is related to their mental spatial transformation skills","http://doi.org/10.1016/j.cognition.2016.02.016"
"gZJXQ","Protzko, J; Ouimette, B; Schooler, J","Believing there is no free will corrupts intuitive cooperation","http://doi.org/10.1016/j.cognition.2016.02.014"
"cBUpt","Blythe, RA; Smith, ADM; Smith, K","Word learning under infinite uncertainty","http://doi.org/10.1016/j.cognition.2016.02.017"
"fnqVK","Mankin, JL; Thompson, C; Branigan, HP; Simner, J","Processing compound words: Evidence from synaesthesia","http://doi.org/10.1016/j.cognition.2016.01.007"
"XBGYM","Oksama, L; Hyona, J","Position tracking and identity tracking are separate systems: Evidence from eye movements","http://doi.org/10.1016/j.cognition.2015.10.016"
"NBAVR","De Visscher, A; Szmalec, A; Van Der Linden, L; Noel, MP","Serial-order learning impairment and hypersensitivity-to-interference in dyscalculia","http://doi.org/10.1016/j.cognition.2015.07.007"
"gjtoc","Vejnovic, D; Zdravkovic, S","Side flankers produce less crowding, but only for letters","http://doi.org/10.1016/j.cognition.2015.07.003"
"uyCBa","Ritchie, KL; Smith, FG; Jenkins, R; Bindemann, M; White, D; Burton, AM","Viewers base estimates of face matching accuracy on their own familiarity: Explaining the photo-ID paradox","http://doi.org/10.1016/j.cognition.2015.05.002"
"tuabF","Jara-Ettinger, J; Gweon, H; Tenenbaum, JB; Schulz, LE","Children's understanding of the costs and rewards underlying rational action","http://doi.org/10.1016/j.cognition.2015.03.006"
"TYcce","Griffiths, TL","Manifesto for a new (computational) cognitive revolution","http://doi.org/10.1016/j.cognition.2014.11.026"
"xmmqg","Chater, N","Can cognitive science create a cognitive economics?","http://doi.org/10.1016/j.cognition.2014.10.015"
"BHxXn","Duke, AA; Begue, L","The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas","http://doi.org/10.1016/j.cognition.2014.09.006"
"RVjqK","Nahmias, E; Shepard, J; Reuter, S","It's OK if 'my brain made me do it': People's intuitions about free will and neuroscientific prediction","http://doi.org/10.1016/j.cognition.2014.07.009"
"wBqQq","Kukona, A; Altmann, GTM; Kamide, Y","Knowing what, where, and when: Event comprehension in language processing","http://doi.org/10.1016/j.cognition.2014.05.011"
"GtinS","Baltazar, M; Hazem, N; Vilarem, E; Beaucousin, V; Picq, JL; Conty, L","Eye contact elicits bodily self-awareness in human adults","http://doi.org/10.1016/j.cognition.2014.06.009"
