"id","authors","title","doi"
"YiEes","Jones, G","The influence of children's exposure to language from two to six years: The case of nonword repetition","http://doi.org/10.1016/j.cognition.2016.04.017"
"sEGLF","Gudde, HB; Coventry, KR; Engelhardt, PE","Language and memory for object location","http://doi.org/10.1016/j.cognition.2016.04.016"
"jJDAL","Ostrand, R; Blumstein, SE; Ferreira, VS; Morgan, JL","What you see isn't always what you get: Auditory word signals trump consciously perceived words in lexical access","http://doi.org/10.1016/j.cognition.2016.02.019"
"TLGOR","Goffin, C; Ansari, D","Beyond magnitude: Judging ordinality of symbolic number is unrelated to magnitude comparison and independently relates to individual differences in arithmetic","http://doi.org/10.1016/j.cognition.2016.01.018"
"xZBke","Ozcaliskan, S; Lucero, C; Goldin-Meadow, S","Does language shape silent gesture?","http://doi.org/10.1016/j.cognition.2015.12.001"
"NoxYh","Tremoliere, B; Djeriouat, H","The sadistic trait predicts minimization of intention and causal responsibility in moral judgment","http://doi.org/10.1016/j.cognition.2015.09.014"
"NiDwn","Noel, JP; Pfeiffer, C; Blanke, O; Serino, A","Peripersonal space as the space of the bodily self","http://doi.org/10.1016/j.cognition.2015.07.012"
"aVpKb","Freier, L; Cooper, RP; Mareschal, D","The planning and execution of natural sequential actions in the preschool years","http://doi.org/10.1016/j.cognition.2015.07.005"
"LYHnr","Cooper, JA; Marsh, JK","The influence of expertise on essence beliefs for mental and medical disorder categories","http://doi.org/10.1016/j.cognition.2015.07.016"
"PvoAc","Rinaldi, L; Brugger, P; Bockisch, CJ; Bertolini, G; Girelli, L","Keeping an eye on serial order: Ocular movements bind space and time","http://doi.org/10.1016/j.cognition.2015.05.022"
"sxjcd","Pietraszewski, D; Curry, OS; Petersen, MB; Cosmides, L; Tooby, J","Constituents of political cognition: Race, party politics, and the alliance detection system","http://doi.org/10.1016/j.cognition.2015.03.007"
"EEnuk","Stephens, EC; Koenig, MA","Varieties of testimony: Children's selective learning in semantic versus episodic domains","http://doi.org/10.1016/j.cognition.2015.01.004"
"wapZZ","Cai, ZGG; Pickering, MJ; Wang, RM; Branigan, HP","It is there whether you hear it or not: Syntactic representation of missing arguments","http://doi.org/10.1016/j.cognition.2014.11.017"
"xGzbQ","Mou, WM; Zhang, L","Dissociating position and heading estimations: Rotated visual orientation cues perceived after walking reset headings but not positions","http://doi.org/10.1016/j.cognition.2014.08.010"
"XLiKQ","Seyfarth, S","Word informativity influences acoustic duration: Effects of contextual predictability on lexical representation","http://doi.org/10.1016/j.cognition.2014.06.013"
"kUJrv","Amso, D; Haas, S; McShane, L; Badre, D","Working memory updating and the development of rule-guided behavior","http://doi.org/10.1016/j.cognition.2014.06.012"
"notnc","Lamb, YN; Thompson, JMD; Murphy, R; Wall, C; Kirk, IJ; Morgan, AR; Ferguson, LR; Mitchell, EA; Waldie, KE","Perceived stress during pregnancy and the catechol-O-methyltransferase (COMT) rs165599 polymorphism impacts on childhood IQ","http://doi.org/10.1016/j.cognition.2014.05.009"
"wEgMg","Riggs, AE; Kalish, CW; Alibali, MW","Property content content guides children's memory for social learning episodes","http://doi.org/10.1016/j.cognition.2014.01.004"
"nBRDH","Laeng, B; Bloem, IM; D'Ascenzo, S; Tommasi, L","Scrutinizing visual images: The role of gaze in mental imagery and memory","http://doi.org/10.1016/j.cognition.2014.01.003"
"cWIgZ","Chemla, E; Bott, L","Processing inferences at the semantics/pragmatics frontier: Disjunctions and free choice","http://doi.org/10.1016/j.cognition.2013.11.013"
