"id","authors","title","doi"
"LRiVc","Walsh, L; Critchlow, J; Beck, B; Cataldo, A; de Boer, L; Haggard, P","Salience-driven overestimation of total somatosensory stimulation","http://doi.org/10.1016/j.cognition.2016.05.006"
"zIKYL","Van Hedger, SC; Heald, SLM; Nusbaum, HC","What the [bleep]? Enhanced absolute pitch memory for a 1000 Hz sine tone","http://doi.org/10.1016/j.cognition.2016.06.001"
"DkgkC","Slevc, LR; Davey, NS; Buschkuehl, M; Jaeggi, SM","Tuning the mind: Exploring the connections between musical ability and executive functions","http://doi.org/10.1016/j.cognition.2016.03.017"
"tWMkV","Huhn, JM; Potts, CA; Rosenbaum, DA","Cognitive framing in action","http://doi.org/10.1016/j.cognition.2016.02.015"
"XYusW","Cardinali, L; Brozzoli, C; Finos, L; Roy, AC; Farne, A","The rules of tool incorporation: Tool morpho-functional & sensori-motor constraints","http://doi.org/10.1016/j.cognition.2016.01.001"
"xjXAU","Koehne, S; Hatri, A; Cacioppo, JT; Dziobek, I","Perceived interpersonal synchrony increases empathy: Insights from autism spectrum disorder","http://doi.org/10.1016/j.cognition.2015.09.007"
"knuuT","Phillips, J; Luguri, JB; Knobe, J","Unifying morality's influence on non-moral judgments: The relevance of alternative possibilities","http://doi.org/10.1016/j.cognition.2015.08.001"
"tEQfK","Huang, LQ","Visual features for perception, attention, and working memory: Toward a three-factor framework","http://doi.org/10.1016/j.cognition.2015.08.007"
"HAKBA","Perner, J; Huemer, M; Leahy, B","Mental files and belief: A cognitive theory of how children represent belief and its intensionality","http://doi.org/10.1016/j.cognition.2015.08.006"
"eLEmz","Novack, MA; Goldin-Meadow, S; Woodward, AL","Learning from gesture: How early does it happen?","http://doi.org/10.1016/j.cognition.2015.05.018"
"nIJWu","Kirby, S; Tamariz, M; Cornish, H; Smith, K","Compression and communication in the cultural evolution of linguistic structure","http://doi.org/10.1016/j.cognition.2015.03.016"
"cOKyU","Bulthoff, I; Newell, FN","Distinctive voices enhance the visual recognition of unfamiliar faces","http://doi.org/10.1016/j.cognition.2014.12.006"
"xKnDK","Goldwater, MB; Gentner, D","On the acquisition of abstract knowledge: Structural alignment and explication in learning causal system categories","http://doi.org/10.1016/j.cognition.2014.12.001"
"JASoo","Reyes-Jaquez, B; Echols, CH","Playing by the rules: Self-interest information influences children's trust and trustworthiness in the absence of feedback","http://doi.org/10.1016/j.cognition.2014.10.002"
"pXSoX","Pfister, R; Janczyk, M; Wirth, R; Dignath, D; Kunde, W","Thinking with portals: Revisiting kinematic cues to intention","http://doi.org/10.1016/j.cognition.2014.07.012"
"Zwhxe","Martins, MD; Laaha, S; Freiberger, EM; Choi, S; Fitch, WT","How children perceive fractals: Hierarchical self-similarity and cognitive development","http://doi.org/10.1016/j.cognition.2014.05.010"
"RVRwK","Phillips, ND; Hertwig, R; Kareev, Y; Avrahami, J","Rivals in the dark: How competition influences search in decisions under uncertainty","http://doi.org/10.1016/j.cognition.2014.06.006"
"Pzeci","Frey, R; Hertwig, R; Rieskamp, J","Fear shapes information acquisition in decisions from experience","http://doi.org/10.1016/j.cognition.2014.03.009"
"sMZuT","Su, YH","Peak velocity as a cue in audiovisual synchrony perception of rhythmic stimuli","http://doi.org/10.1016/j.cognition.2014.02.004"
"ZbRer","Piwek, L; Mckay, LS; Pollick, FE","Empirical evaluation of the uncanny valley hypothesis fails to confirm the predicted effect of motion","http://doi.org/10.1016/j.cognition.2013.11.001"
