"id","authors","title","doi"
"LlEmL","Mill, RD; O'Connor, AR; Dobbins, IG","Pupil dilation during recognition memory: Isolating unexpected recognition from judgment uncertainty","http://doi.org/10.1016/j.cognition.2016.05.018"
"IRLQJ","Ma, K; Sellaro, R; Lippelt, DP; Hommel, B","Mood migration: How enfacing a smile makes you happier","http://doi.org/10.1016/j.cognition.2016.02.018"
"JaxCi","Travers, E; Rolison, JJ; Feeney, A","The time course of conflict on the Cognitive Reflection Test","http://doi.org/10.1016/j.cognition.2016.01.015"
"qxSwr","MacDorman, KF; Chattopadhyay, D","Reducing consistency in human realism increases the uncanny valley effect; increasing category uncertainty does not","http://doi.org/10.1016/j.cognition.2015.09.019"
"QRyTG","Moseley, P; Smailes, D; Ellison, A; Fernyhough, C","The effect of auditory verbal imagery on signal detection in hallucination-prone individuals","http://doi.org/10.1016/j.cognition.2015.09.015"
"IhSxo","Sturz, BR; Bodily, KD","Detecting the perception of illusory spatial boundaries: Evidence from distance judgments","http://doi.org/10.1016/j.cognition.2015.10.015"
"HFCil","Frey, R; Mata, R; Hertwig, R","The role of cognitive abilities in decisions from experience: Age differences emerge as a function of choice set size","http://doi.org/10.1016/j.cognition.2015.05.004"
"uAyHF","Forrester, GS; Rodriguez, A","Slip of the tongue: Implications for evolution and language development","http://doi.org/10.1016/j.cognition.2015.04.012"
"vaCNR","van der Wel, RPRD","Me and we: Metacognition and performance evaluation of joint actions","http://doi.org/10.1016/j.cognition.2015.03.011"
"GlktW","Peeters, D; Hagoort, P; Ozyurek, A","Electrophysiological evidence for the role of shared space in online comprehension of spatial demonstratives","http://doi.org/10.1016/j.cognition.2014.10.010"
"qfmuM","Greene, JD","The rise of moral cognition","http://doi.org/10.1016/j.cognition.2014.11.018"
"TQuzq","Kahan, DM","Laws of cognition and the cognition of law","http://doi.org/10.1016/j.cognition.2014.11.025"
"AghMR","Pitts, CE; Onishi, KH; Vouloumanos, A","Who can communicate with whom? Language experience affects infants' evaluation of others as monolingual or multilingual","http://doi.org/10.1016/j.cognition.2014.10.003"
"ieEZW","Toelch, U; Jubera-Garcia, E; Kurth-Nelson, Z; Dolan, RJ","Competition strength influences individual preferences in an auction game","http://doi.org/10.1016/j.cognition.2014.07.010"
"AzMWF","Strickland, B; Fisher, M; Keil, F; Knobe, J","Syntax and intentionality: An automatic link between language and theory-of-mind","http://doi.org/10.1016/j.cognition.2014.05.021"
"zWTGe","Banerjee, K; Bloom, P","Why did this happen to me? Religious believers' and non-believers' teleological reasoning about life events","http://doi.org/10.1016/j.cognition.2014.06.017"
"NPDIx","Pfister, R; Pfeuffer, CU; Kunde, W","Perceiving by proxy: Effect-based action control with unperceivable effects","http://doi.org/10.1016/j.cognition.2014.04.012"
"oFaEB","Sutherland, CAM; Thut, G; Romei, V","Hearing brighter: Changing in-depth visual perception through looming sounds","http://doi.org/10.1016/j.cognition.2014.04.011"
"OHuhB","Heed, T; Roder, B","Motor coordination uses external spatial coordinates independent of developmental vision","http://doi.org/10.1016/j.cognition.2014.03.005"
"kHHHo","Hyde, DC; Khanum, S; Spelke, ES","Brief non-symbolic, approximate number practice enhances subsequent exact symbolic arithmetic in children","http://doi.org/10.1016/j.cognition.2013.12.007"
