"id","authors","title","doi"
"iRTRd","Chetverikov, A; Campana, G; Kristjansson, A","Building ensemble representations: How the shape of preceding distractor distributions affects visual search","http://doi.org/10.1016/j.cognition.2016.04.018"
"nndwj","Poepsel, TJ; Weiss, DJ","The influence of bilingualism on statistical word learning","http://doi.org/10.1016/j.cognition.2016.03.001"
"XMBdw","Benitez-Quiroz, CF; Wilbur, RB; Martinez, AM","The not face: A grammaticalization of facial expressions of emotion","http://doi.org/10.1016/j.cognition.2016.02.004"
"XmMmS","Ayars, A","Can model-free reinforcement learning explain deontological moral judgments?","http://doi.org/10.1016/j.cognition.2016.02.002"
"gsQAW","Stapel, JC; Hunnius, S; Meyer, M; Bekkering, H","Motor system contribution to action prediction: Temporal accuracy depends on motor experience","http://doi.org/10.1016/j.cognition.2015.12.007"
"Yzudc","Gao, ZF; Gao, QY; Tang, N; Shui, RD; Shen, MW","Organization principles in visual working memory: Evidence from sequential stimulus display","http://doi.org/10.1016/j.cognition.2015.10.005"
"WjCBs","Ravignani, A; Westphal-Fitch, G; Aust, U; Schlumpp, MM; Fitch, WT","More than one way to see it: Individual heuristics in avian visual computation","http://doi.org/10.1016/j.cognition.2015.05.021"
"OREoI","Wang, YY; Cao, ZJ; Zhu, ZJ; Cai, HQ; Wu, YH","Cue-independent forgetting by intentional suppression - Evidence for inhibition as the mechanism of intentional forgetting","http://doi.org/10.1016/j.cognition.2015.05.025"
"jsUQe","Mancini, F; Steinitz, H; Steckelmacher, J; Iannetti, GD; Haggard, P","Poor judgment of distance between nociceptive stimuli","http://doi.org/10.1016/j.cognition.2015.06.004"
"cksxi","Mahr, T; McMillan, BTM; Saffran, JR; Weismer, SE; Edwards, J","Anticipatory coarticulation facilitates word recognition in toddlers","http://doi.org/10.1016/j.cognition.2015.05.009"
"GPjMF","Hilliard, C; O'Neal, E; Plumert, J; Cook, SW","Mothers modulate their gesture independently of their speech","http://doi.org/10.1016/j.cognition.2015.04.003"
"laLBJ","Baker, LJ; Levin, DT","The role of relational triggers in event perception","http://doi.org/10.1016/j.cognition.2014.11.030"
"xGatJ","Chakroff, A; Young, L","Harmful situations, impure people: An attribution asymmetry across moral domains","http://doi.org/10.1016/j.cognition.2014.11.034"
"OYDce","Juslin, P; Lindskog, M; Mayerhofer, B","Is there something special with probabilities? - Insight vs. computational ability in multiple risk combination","http://doi.org/10.1016/j.cognition.2014.11.041"
"bsZBj","Rohde, H; Horton, WS","Anticipatory looks reveal expectations about discourse relations","http://doi.org/10.1016/j.cognition.2014.08.012"
"KYfkH","Staudte, M; Crocker, MW; Heloir, A; Kipp, M","The influence of speaker gaze on listener comprehension: Contrasting visual versus intentional accounts","http://doi.org/10.1016/j.cognition.2014.06.003"
"btBgZ","Desantis, A; Roussel, C; Waszak, F","The temporal dynamics of the perceptual consequences of action-effect prediction","http://doi.org/10.1016/j.cognition.2014.04.010"
"kiRci","Basirat, A; Dehaene, S; Dehaene-Lambertz, G","A hierarchy of cortical responses to sequence violations in three-month-old infants","http://doi.org/10.1016/j.cognition.2014.03.013"
"gzSqr","Schotter, ER; Bicknell, K; Howard, I; Levy, R; Rayner, K","Task effects reveal cognitive flexibility responding to frequency and predictability: Evidence from eye movements in reading and proofreading","http://doi.org/10.1016/j.cognition.2013.11.018"
"buqQb","Wiegmann, A; Waldmann, MR","Transfer effects between moral dilemmas: A causal model theory","http://doi.org/10.1016/j.cognition.2013.12.004"
