"id","authors","title","doi"
"rpxGs","Todd, AR; Simpson, AJ","Anxiety impairs spontaneous perspective calculation: Evidence from a level-1 visual perspective-taking task","http://doi.org/10.1016/j.cognition.2016.08.004"
"QjygY","Samland, J; Waldmann, MR","How prescriptive norms influence causal inferences","http://doi.org/10.1016/j.cognition.2016.07.007"
"Xvfpm","Meilinger, T; Strickrodt, M; Bulthoff, HH","Qualitative differences in memory for vista and environmental spaces are caused by opaque borders, not movement or successive presentation","http://doi.org/10.1016/j.cognition.2016.06.003"
"zMRRb","Gelman, SA; Davidson, NS","Young children's preference for unique owned objects","http://doi.org/10.1016/j.cognition.2016.06.016"
"AmrYa","Molnar, M; Carreiras, M; Gervain, J","Language dominance shapes non-linguistic rhythmic grouping in bilinguals","http://doi.org/10.1016/j.cognition.2016.03.023"
"odQVt","Vivas, AB; Marful, A; Panagiotidou, D; Bajo, T","Instruction to forget lead to emotional devaluation","http://doi.org/10.1016/j.cognition.2016.02.005"
"pxFtR","Starmans, C; Friedman, O","If I am free, you can't own me: Autonomy makes entities less ownable","http://doi.org/10.1016/j.cognition.2015.11.001"
"NpnII","Mathur, MB; Reichling, DB","Navigating a social world with robot partners: A quantitative cartography of the Uncanny Valley","http://doi.org/10.1016/j.cognition.2015.09.008"
"VKhHn","Uittenhove, K; Thevenot, C; Barrouillet, P","Fast automated counting procedures in addition problem solving: When are they used and why are they mistaken for retrieval?","http://doi.org/10.1016/j.cognition.2015.10.008"
"zlAdx","McKoon, G; Ratcliff, R","Adults with poor reading skills: How lexical knowledge interacts with scores on standardized reading comprehension tests","http://doi.org/10.1016/j.cognition.2015.10.009"
"MUXgG","Carey, D; Rosen, S; Krishnan, S; Pearce, MT; Shepherd, A; Aydelott, J; Dick, F","Generality and specificity in the effects of musical expertise on perception and cognition","http://doi.org/10.1016/j.cognition.2014.12.005"
"RAzBq","Goldin-Meadow, S; Brentari, D; Coppola, M; Horton, L; Senghas, A","Watching language grow in the manual modality: Nominals, predicates, and handshapes","http://doi.org/10.1016/j.cognition.2014.11.029"
"qHPXp","McAuliffe, K; Jordan, JJ; Warneken, F","Costly third-party punishment in young children","http://doi.org/10.1016/j.cognition.2014.08.013"
"TcZFo","Iversen, JR; Patel, AD; Nicodemus, B; Emmorey, K","Synchronization to auditory and visual rhythms in hearing and deaf individuals","http://doi.org/10.1016/j.cognition.2014.10.018"
"dDgSh","Tsuji, S; Mazuka, R; Cristia, A; Fikkert, P","Even at 4 months, a labial is a good enough coronal, but not vice versa","http://doi.org/10.1016/j.cognition.2014.10.009"
"rhcaK","Hawthorne, K; Gerken, L","From pauses to clauses: Prosody facilitates learning of syntactic constituency","http://doi.org/10.1016/j.cognition.2014.07.013"
"DMTRy","Millar, JC; Turri, J; Friedman, O","For the greater goods? Ownership rights and utilitarian moral judgment","http://doi.org/10.1016/j.cognition.2014.05.018"
"BIUdc","Martin, A; Utsugi, A; Mazuka, R","The multidimensional nature of hyperspeech: Evidence from Japanese vowel devoicing","http://doi.org/10.1016/j.cognition.2014.04.003"
"GUZey","Schouwstra, M; de Swart, H","The semantic origins of word order","http://doi.org/10.1016/j.cognition.2014.03.004"
"pKABT","Cardona, JF; Kargieman, L; Sinay, V; Gershanik, O; Gelormini, C; Amoruso, L; Roca, M; Pineda, D; Trujillo, N; Michon, M; Garcia, AM; Szenkman, D; Bekinschtein, T; Manes, F; Ibanez, A","How embodied is action language? Neurological evidence from motor diseases","http://doi.org/10.1016/j.cognition.2014.02.001"
