"id","authors","title","doi"
"wOnYr","Geipel, J; Hadjichristidis, C; Surian, L","Foreign language affects the contribution of intentions and outcomes to moral judgment","http://doi.org/10.1016/j.cognition.2016.05.010"
"ihLWD","Mody, S; Carey, S","The emergence of reasoning by the disjunctive syllogism in early childhood","http://doi.org/10.1016/j.cognition.2016.05.012"
"nvKBz","Zhou, JF; Zhang, HH; Ding, XW; Shui, RD; Shen, MW","Object formation in visual working memory: Evidence from object-based attention","http://doi.org/10.1016/j.cognition.2016.04.009"
"aaxRO","Mizrak, E; Ouml;ztekin, I","Working memory capacity and controlled serial memory search","http://doi.org/10.1016/j.cognition.2016.04.007"
"GygzB","Traczyk, J; Fulawka, K","Numeracy moderates the influence of task-irrelevant affect on probability weighting","http://doi.org/10.1016/j.cognition.2016.03.002"
"PJGrX","Skovgaard-Olsen, N; Singmann, H; Klauer, KC","The relevance effect and conditionals","http://doi.org/10.1016/j.cognition.2015.12.017"
"KKsOf","Krachun, C; Lurz, R; Russell, JL; Hopkins, WD","Smoke and mirrors: Testing the scope of chimpanzees' appearance-reality understanding","http://doi.org/10.1016/j.cognition.2016.01.012"
"dRqyT","Zuhurudeen, FM; Huang, YT","Effects of statistical learning on the acquisition of grammatical categories through Qur'anic memorization: A natural experiment","http://doi.org/10.1016/j.cognition.2015.12.014"
"aGBRS","Yurovsky, D; Frank, MC","An integrative account of constraints on cross-situational learning","http://doi.org/10.1016/j.cognition.2015.07.013"
"oZnIa","Singh, L; Goh, HH; Wewalaarachchi, TD","Spoken word recognition in early childhood: Comparative effects of vowel, consonant and lexical tone variation","http://doi.org/10.1016/j.cognition.2015.05.010"
"rerjb","Perea, M; Vergara-Martinez, M; Gomez, P","Resolving the locus of cAsE aLtErNaTiOn effects in visual word recognition: Evidence from masked priming","http://doi.org/10.1016/j.cognition.2015.05.007"
"dRpqH","Yechiam, E; Retzer, M; Telpaz, A; Hochman, G","Losses as ecological guides: Minor losses lead to maximization and not to avoidance","http://doi.org/10.1016/j.cognition.2015.03.001"
"CoRFV","Carroll, CD; Kemp, C","Evaluating the inverse reasoning account of object discovery","http://doi.org/10.1016/j.cognition.2015.03.003"
"pcdNv","Frank, MJ; Badre, D","How cognitive theory guides neuroscience","http://doi.org/10.1016/j.cognition.2014.11.009"
"wJwwf","Busemeyer, JR","Cognitive science contributions to decision science","http://doi.org/10.1016/j.cognition.2014.11.010"
"MSqaT","Myllyneva, A; Hietanen, JK","There is more to eye contact than meets the eye","http://doi.org/10.1016/j.cognition.2014.09.011"
"poQZj","Monaghan, P","Age of acquisition predicts rate of lexical evolution","http://doi.org/10.1016/j.cognition.2014.08.007"
"tzokk","Liu, LQ; Kager, R","Perception of tones by infants learning a non-tone language","http://doi.org/10.1016/j.cognition.2014.06.004"
"fQbuY","Pearson, DG; Ball, K; Smith, DT","Oculomotor preparation as a rehearsal mechanism in spatial working memory","http://doi.org/10.1016/j.cognition.2014.05.006"
"gwfCN","Gantman, AP; Van Bavel, JJ","The moral pop-out effect: Enhanced perceptual awareness of morally relevant stimuli","http://doi.org/10.1016/j.cognition.2014.02.007"
