"id","authors","title","doi"
"QsGPr","Scaltritti, M; Arfe, B; Torrance, M; Peressotti, F","Typing pictures: Linguistic processing cascades into finger movements","http://doi.org/10.1016/j.cognition.2016.07.006"
"UcGLB","Kalenine, S; Wamain, Y; Decroix, J; Coello, Y","Conflict between object structural and functional affordances in peripersonal space","http://doi.org/10.1016/j.cognition.2016.06.006"
"gvlOv","Aksentijevic, A; Treider, JMG","It's all in the past: Deconstructing the temporal Doppler effect","http://doi.org/10.1016/j.cognition.2016.07.001"
"PkLdM","Kvam, PD; Pleskac, TJ","Strength and weight: The determinants of choice and confidence","http://doi.org/10.1016/j.cognition.2016.04.008"
"SYnIx","Pfister, R; Wirth, R; Schwarz, KA; Steinhauser, M; Kunde, W","Burdens of non-conformity: Motor execution reveals cognitive conflict during deliberate rule violations","http://doi.org/10.1016/j.cognition.2015.11.009"
"cLVSG","Barenholtz, E; Mavica, L; Lewkowicz, DJ","Language familiarity modulates relative attention to the eyes and mouth of a talker","http://doi.org/10.1016/j.cognition.2015.11.013"
"lWbCR","Culbertson, J; Newport, EL","Harmonic biases in child learners: In support of language universals","http://doi.org/10.1016/j.cognition.2015.02.007"
"UzDIz","Lindeman, M; Svedholm-Hakkinen, AM; Lipsanen, J","Ontological confusions but not mentalizing abilities predict religious belief, paranormal belief, and belief in supernatural purpose","http://doi.org/10.1016/j.cognition.2014.09.008"
"KGGcR","Weinbach, N; Henik, A","Alerting enhances attentional bias for salient stimuli: Evidence from a global/local processing task","http://doi.org/10.1016/j.cognition.2014.07.005"
"baLia","Rochat, P; Robbins, E; Passos-Ferreira, C; Oliva, AD; Dias, MDG; Guo, LP","Ownership reasoning in children across cultures","http://doi.org/10.1016/j.cognition.2014.04.014"
