"id","authors","title","doi"
"UuxOX","Holtgraves, T; Perdew, A","Politeness and the communication of uncertainty","http://doi.org/10.1016/j.cognition.2016.05.005"
"aPYea","Gauthier, B; van Wassenhove, V","Cognitive mapping in mental time travel and mental space navigation","http://doi.org/10.1016/j.cognition.2016.05.015"
"DfRWO","Sparks, S; Cunningham, SJ; Kritikos, A","Culture modulates implicit ownership-induced self-bias in memory","http://doi.org/10.1016/j.cognition.2016.05.003"
"CfbGt","Fausey, CM; Jayaraman, S; Smith, LB","From faces to hands: Changing visual input in the first two years","http://doi.org/10.1016/j.cognition.2016.03.005"
"BMiPT","Weick, M; Allen, JA; Vasiljevic, M; Yao, B","Walking blindfolded unveils unique contributions of behavioural approach and inhibition to lateral spatial bias","http://doi.org/10.1016/j.cognition.2015.11.006"
"EThNz","Otsuka, S; Saiki, J","Gift from statistical learning: Visual statistical learning enhances memory for sequence elements and impairs memory for items that disrupt regularities","http://doi.org/10.1016/j.cognition.2015.11.004"
"nNvlf","Sutherland, SL; Cimpian, A","An explanatory heuristic gives rise to the belief that words are well suited for their referents","http://doi.org/10.1016/j.cognition.2015.07.002"
"GPpOJ","Zhao, MT; Warren, WH","Environmental stability modulates the role of path integration in human navigation","http://doi.org/10.1016/j.cognition.2015.05.008"
"bAIfz","Rhodes, G; Pond, S; Burton, N; Kloth, N; Jeffery, L; Bell, J; Ewing, L; Calder, AJ; Palermo, R","How distinct is the coding of face identity and expression? Evidence for some common dimensions in face space","http://doi.org/10.1016/j.cognition.2015.05.012"
"wTJpw","Schwitzgebel, E; Cushman, F","Philosophers' biased judgments persist despite training, expertise and reflection","http://doi.org/10.1016/j.cognition.2015.04.015"
"uPShF","Kubanek, J; Snyder, LH; Abrams, RA","Reward and punishment act as distinct factors in guiding behavior","http://doi.org/10.1016/j.cognition.2015.03.005"
"oEcbF","Slepian, ML","Disentangling multimodal processes in social categorization","http://doi.org/10.1016/j.cognition.2014.11.007"
"Pwkqn","Korman, J; Voiklis, J; Malle, BF","The social life of cognition","http://doi.org/10.1016/j.cognition.2014.11.005"
"lIMPt","Koriat, A; Sorka, H","The construction of categorization judgments: Using subjective confidence and response latency to test a distributed model","http://doi.org/10.1016/j.cognition.2014.09.009"
"utbJY","Radel, R; Davranche, K; Fournier, M; Dietrich, A","The role of (dis)inhibition in creativity: Decreased inhibition improves idea generation","http://doi.org/10.1016/j.cognition.2014.09.001"
"pbINV","Kahane, G; Everett, JAC; Earp, BD; Farias, M; Savulescu, J","Utilitarian' judgments in sacrificial moral dilemmas do not reflect impartial concern for the greater good","http://doi.org/10.1016/j.cognition.2014.10.005"
"oNSMj","James, PJ; Krishnan, S; Aydelott, J","Working memory predicts semantic comprehension in dichotic listening in older adults","http://doi.org/10.1016/j.cognition.2014.05.014"
"uwyKK","Spalek, K; Hoshino, N; Wu, YJ; Damian, M; Thierry, G","Speaking two languages at once: Unconscious native word form access in second language production","http://doi.org/10.1016/j.cognition.2014.06.016"
"RGFOX","Bell, R; Schain, C; Echterhoff, G","How selfish is memory for cheaters? Evidence for moral and egoistic biases","http://doi.org/10.1016/j.cognition.2014.05.001"
"GRcOW","Bauml, KHT; Schlichting, A","Memory retrieval as a self-propagating process","http://doi.org/10.1016/j.cognition.2014.03.007"
