"id","authors","title","doi"
"UYYED","Ngon, C; Peperkamp, S","What infants know about the unsaid: Phonological categorization in the absence of auditory input","http://doi.org/10.1016/j.cognition.2016.03.014"
"JcuWB","Hood, B; Weltzien, S; Marsh, L; Kanngiesser, P","Picture yourself: Self-focus and the endowment effect in preschool children","http://doi.org/10.1016/j.cognition.2016.03.019"
"bPJii","Jessen, S; Altvater-Mackensen, N; Grossmann, T","Pupillary responses reveal infants' discrimination of facial emotions independent of conscious perception","http://doi.org/10.1016/j.cognition.2016.02.010"
"nSfjr","Goldrick, M; Keshet, J; Gustafson, E; Heller, J; Needle, J","Automatic analysis of slips of the tongue: Insights into the cognitive architecture of speech production","http://doi.org/10.1016/j.cognition.2016.01.002"
"fbrsp","Trueswell, JC; Lin, Y; Armstrong, B; Cartmill, EA; Goldin-Meadow, S; Gleitman, LR","Perceiving referential intent: Dynamics of reference in natural parent-child interactions","http://doi.org/10.1016/j.cognition.2015.11.002"
"POciU","Ais, J; Zylberberg, A; Barttfeld, P; Sigman, M","Individual consistency in the accuracy and distribution of confidence judgments","http://doi.org/10.1016/j.cognition.2015.10.006"
"Tperm","Holbrook, C; Fessler, DMT; Pollack, J","With God on our side: Religious primes reduce the envisioned physical formidability of a menacing adversary","http://doi.org/10.1016/j.cognition.2015.10.011"
"LKjzB","Menninghaus, W; Bohrn, IC; Knoop, CA; Kotz, SA; Schlotz, W; Jacobs, AM","Rhetorical features facilitate prosodic processing while handicapping ease of semantic comprehension","http://doi.org/10.1016/j.cognition.2015.05.026"
"CPOQU","Hills, TT; Adelman, JS","Recent evolution of learnability in American English from 1800 to 2000","http://doi.org/10.1016/j.cognition.2015.06.009"
"Kqcqt","Ong, DC; Zaki, J; Goodman, ND","Affective cognition: Exploring lay theories of emotion","http://doi.org/10.1016/j.cognition.2015.06.010"
"XqTyW","Shen, MW; Xu, HK; Zhang, HH; Shui, RD; Zhang, M; Zhou, JF","The working memory Ponzo illusion: Involuntary integration of visuospatial information stored in visual working memory","http://doi.org/10.1016/j.cognition.2015.04.010"
"pFcAu","Van Hedger, SC; Heald, SLM; Koch, R; Nusbaum, HC","Auditory working memory predicts individual differences in absolute pitch learning","http://doi.org/10.1016/j.cognition.2015.03.012"
"eyAKZ","Lowder, MW; Gordon, PC","Natural forces as agents: Reconceptualizing the animate-inanimate distinction","http://doi.org/10.1016/j.cognition.2014.11.021"
"RjZok","Lassiter, D; Goodman, ND","How many kinds of reasoning? Inference, probability, and natural language semantics","http://doi.org/10.1016/j.cognition.2014.10.016"
"UzqhR","Scholz, A; von Helversen, B; Rieskamp, J","Eye movements reveal memory processes during similarity- and rule-based decision making","http://doi.org/10.1016/j.cognition.2014.11.019"
"YcqYd","Pappas, Z","Dissociating Simon and affordance compatibility effects: Silhouettes and photographs","http://doi.org/10.1016/j.cognition.2014.08.018"
"TDkqK","Gonzalez-Gomez, N; Hayashi, A; Tsuji, S; Mazuka, R; Nazzi, T","The role of the input on the development of the LC bias: A crosslinguistic comparison","http://doi.org/10.1016/j.cognition.2014.04.004"
"nVpwA","Debey, E; De Houwer, J; Verschuere, B","Lying relies on the truth","http://doi.org/10.1016/j.cognition.2014.04.009"
"glJaU","Gillespie, M; James, AN; Federmeier, KD; Watson, DG","Verbal working memory predicts co-speech gesture: Evidence from individual differences","http://doi.org/10.1016/j.cognition.2014.03.012"
"POksz","Rakoczy, H; Cluver, A; Saucke, L; Stoffregen, N; Grabener, A; Migura, J; Call, J","Apes are intuitive statisticians","http://doi.org/10.1016/j.cognition.2013.12.011"
