"id","authors","title","doi"
"rYrBD","Meinhardt-Injac, B; Boutet, I; Persike, M; Meinhardt, G; Imhof, M","From development to aging: Holistic face perception in children, younger and older adults","http://doi.org/10.1016/j.cognition.2016.10.020"
"bQjnT","Majdandzic, J; Amashaufer, S; Hummer, A; Windischberger, C; Lamm, C","The selfless mind: How prefrontal involvement in mentalizing with similar and dissimilar others shapes empathy and prosocial behavior","http://doi.org/10.1016/j.cognition.2016.08.003"
"FLDPD","Parker, D; Phillips, C","Negative polarity illusions and the format of hierarchical encodings in memory","http://doi.org/10.1016/j.cognition.2016.08.016"
"aEEro","Emberson, LL; Rubinstein, DY","Statistical learning is constrained to less abstract patterns in complex sensory input (but not the least)","http://doi.org/10.1016/j.cognition.2016.04.010"
"DkgkC","Slevc, LR; Davey, NS; Buschkuehl, M; Jaeggi, SM","Tuning the mind: Exploring the connections between musical ability and executive functions","http://doi.org/10.1016/j.cognition.2016.03.017"
"UnOEK","Fornaciai, M; Cicchini, GM; Burr, DC","Adaptation to number operates on perceived rather than physical numerosity","http://doi.org/10.1016/j.cognition.2016.03.006"
"XRMQZ","Wiegmann, A; Samland, J; Waldmann, MR","Lying despite telling the truth","http://doi.org/10.1016/j.cognition.2016.01.017"
"odQVt","Vivas, AB; Marful, A; Panagiotidou, D; Bajo, T","Instruction to forget lead to emotional devaluation","http://doi.org/10.1016/j.cognition.2016.02.005"
"MzLgX","Antoniou, K; Grohmann, KK; Kambanaros, M; Katsos, N","The effect of childhood bilectalism and multilingualism on executive control","http://doi.org/10.1016/j.cognition.2015.12.002"
"hbmHn","Bowers, JS; Vankov, II; Damian, MF; Davis, CJ","Why do some neurons in cortex respond to information in a selective manner? Insights from artificial neural networks","http://doi.org/10.1016/j.cognition.2015.12.009"
"OliNK","Jones, G; Macken, B","Questioning short-term memory and its measurement: Why digit span measures long-term associative learning","http://doi.org/10.1016/j.cognition.2015.07.009"
"ljVyE","Heiphetz, L; Spelke, ES; Young, LL","In the name of God: How children and adults judge agents who act for religious versus secular reasons","http://doi.org/10.1016/j.cognition.2015.07.017"
"KhSgg","Kim, CS; Gunlogson, C; Tanenhaus, MK; Runner, JT","Context-driven expectations about focus alternatives","http://doi.org/10.1016/j.cognition.2015.02.009"
"odxXF","Ratclifff, R; Thompson, CA; McKoon, G","Modeling individual differences in response time and accuracy in numeracy","http://doi.org/10.1016/j.cognition.2014.12.004"
"rVsFO","Scoboria, A; Talarico, JM; Pascal, L","Metamemory appraisals in autobiographical event recall","http://doi.org/10.1016/j.cognition.2014.11.028"
"xGzbQ","Mou, WM; Zhang, L","Dissociating position and heading estimations: Rotated visual orientation cues perceived after walking reset headings but not positions","http://doi.org/10.1016/j.cognition.2014.08.010"
"OHuhB","Heed, T; Roder, B","Motor coordination uses external spatial coordinates independent of developmental vision","http://doi.org/10.1016/j.cognition.2014.03.005"
"mxGXx","Rabovsky, M; McRae, K","Simulating the N400 ERP component as semantic network error: Insights from a feature-based connectionist attractor model of word meaning","http://doi.org/10.1016/j.cognition.2014.03.010"
"wEgMg","Riggs, AE; Kalish, CW; Alibali, MW","Property content content guides children's memory for social learning episodes","http://doi.org/10.1016/j.cognition.2014.01.004"
"pKABT","Cardona, JF; Kargieman, L; Sinay, V; Gershanik, O; Gelormini, C; Amoruso, L; Roca, M; Pineda, D; Trujillo, N; Michon, M; Garcia, AM; Szenkman, D; Bekinschtein, T; Manes, F; Ibanez, A","How embodied is action language? Neurological evidence from motor diseases","http://doi.org/10.1016/j.cognition.2014.02.001"
